avgdist,bestpos,generation,maxdist,mindist
13788.0,"SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CLE,DET,TOR,BOS,NYM,NYY,PHI,BAL,WAS,PIT,CIN,ATL,TBR,FLA,HOU,TEX,ARI,SDP,LAA,LAD,OAK",2300,21532.0,10794.0
18125.0,"SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CLE,DET,TOR,BOS,NYM,NYY,PHI,BAL,WAS,PIT,CIN,ATL,TBR,FLA,HOU,TEX,ARI,SDP,LAA,LAD,OAK",2400,27590.0,10794.0
13591.0,"SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CLE,PIT,WAS,BAL,PHI,NYY,NYM,BOS,TOR,DET,CIN,ATL,TBR,FLA,HOU,TEX,ARI,SDP,LAA,LAD,OAK",2500,16476.0,10734.0
14000.0,"FLA,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CLE,PIT,WAS,BAL,PHI,NYY,NYM,BOS,TOR,DET,CIN,ATL,TBR",2600,18315.0,10734.0
11929.0,"ATL,TBR,FLA,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CLE,PIT,WAS,BAL,PHI,NYY,NYM,BOS,TOR,DET,CIN",2700,16791.0,10734.0
12934.0,"MIL,CHC,CHW,CLE,PIT,WAS,BAL,PHI,NYY,NYM,BOS,TOR,DET,CIN,ATL,TBR,FLA,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN",2800,22225.0,10734.0
11844.0,"HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CLE,PIT,WAS,BAL,PHI,NYY,NYM,BOS,TOR,DET,CIN,ATL,TBR,FLA",2900,16234.0,10734.0
11808.0,"PIT,WAS,BAL,PHI,NYY,NYM,BOS,TOR,DET,CIN,ATL,TBR,FLA,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CLE",3000,20019.0,10734.0
11551.0,"STL,MIN,MIL,CHC,CHW,CLE,PIT,WAS,BAL,PHI,NYY,NYM,BOS,TOR,DET,CIN,ATL,TBR,FLA,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN",3100,15693.0,10734.0
11978.0,"BAL,PHI,NYY,NYM,BOS,TOR,DET,CIN,ATL,TBR,FLA,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CLE,PIT,WAS",3200,16328.0,10734.0
11269.0,"SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CLE,PIT,WAS,BAL,PHI,NYY,NYM,BOS,TOR,DET,CIN,ATL,TBR,FLA,HOU,TEX,ARI",3300,15418.0,10734.0
12996.0,"SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CLE,PIT,WAS,BAL,PHI,NYY,NYM,BOS,TOR,DET,CIN,ATL,FLA,TBR,HOU,TEX,ARI",3400,18301.0,10734.0
12869.0,"KAN,STL,MIN,MIL,CHC,CHW,CLE,PIT,WAS,BAL,PHI,NYY,NYM,BOS,TOR,DET,CIN,ATL,FLA,TBR,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL",3500,17660.0,10734.0
12681.0,"COL,KAN,STL,MIN,MIL,CHC,CHW,CLE,PIT,WAS,BAL,PHI,NYY,NYM,BOS,TOR,DET,CIN,ATL,FLA,TBR,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA",3600,16710.0,10734.0
12705.0,"COL,KAN,STL,MIN,MIL,CHC,CHW,CLE,PIT,WAS,BAL,PHI,NYY,NYM,BOS,TOR,DET,CIN,ATL,FLA,TBR,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA",3700,18676.0,10734.0
12498.0,"TOR,DET,CIN,ATL,FLA,TBR,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CLE,PIT,WAS,BAL,PHI,NYY,NYM,BOS",3800,20405.0,10734.0
11608.0,"COL,KAN,STL,MIN,MIL,CHC,CHW,CLE,PIT,WAS,BAL,PHI,NYY,NYM,BOS,TOR,DET,CIN,ATL,FLA,TBR,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA",3900,17150.0,10734.0
12138.0,"HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,CLE,PIT,WAS,BAL,PHI,NYY,NYM,BOS,TOR,DET,CIN,ATL,FLA,TBR",4000,20020.0,10734.0
16715.0,"HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,DET,TOR,BOS,NYM,NYY,PHI,BAL,WAS,PIT,CLE,CIN,ATL,FLA,TBR",4100,23013.0,10658.0
13988.0,"TOR,BOS,NYM,NYY,PHI,BAL,WAS,PIT,CLE,CIN,ATL,FLA,TBR,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,DET",4200,21211.0,10658.0
13801.0,"LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,DET,TOR,BOS,NYM,NYY,PHI,BAL,WAS,PIT,CLE,CIN,ATL,FLA,TBR,HOU,TEX,ARI,SDP,LAA",4300,22254.0,10658.0
14194.0,"LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,DET,TOR,BOS,NYM,NYY,PHI,BAL,WAS,PIT,CLE,CIN,ATL,FLA,TBR,HOU,TEX,ARI,SDP,LAA",4400,18729.0,10658.0
15607.0,"SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,DET,TOR,BOS,NYM,NYY,PHI,BAL,WAS,PIT,CLE,CIN,ATL,FLA,TBR,HOU,TEX,ARI,SDP,LAA,LAD,OAK",4500,20910.0,10658.0
13414.0,"SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,DET,TOR,BOS,NYM,NYY,PHI,BAL,WAS,PIT,CLE,CIN,ATL,FLA,TBR,HOU,TEX,ARI,SDP,LAA,LAD,OAK",4600,18606.0,10658.0
11677.0,"CIN,ATL,FLA,TBR,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,DET,TOR,BOS,NYM,NYY,PHI,BAL,WAS,PIT,CLE",4700,16305.0,10658.0
11173.0,"LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,DET,TOR,BOS,NYM,NYY,PHI,BAL,WAS,PIT,CLE,CIN,ATL,FLA,TBR,HOU,TEX,ARI,SDP,LAA",4800,14663.0,10658.0
12827.0,"SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,DET,TOR,BOS,NYM,NYY,PHI,BAL,WAS,PIT,CLE,CIN,ATL,FLA,TBR,HOU,TEX,ARI,SDP,LAA,LAD,OAK",4900,21181.0,10658.0
11047.0,"TBR,HOU,TEX,ARI,SDP,LAA,LAD,OAK,SFG,SEA,COL,KAN,STL,MIN,MIL,CHC,CHW,DET,TOR,BOS,NYM,NYY,PHI,BAL,WAS,PIT,CLE,CIN,ATL,FLA",5000,17407.0,10658.0
