DestAddr,DestCode,DestName,Distance,Duration,OrigAddr,OrigCode,OrigName
"Macombs Dam Bridge, Bronx, NY 10452, USA",NYY,Yankee Stadium,1272442,42386,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"7000 Coliseum Way, Oakland, CA 94621, USA",OAK,O.co Stadium,3434667,112002,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"16 S 11th St, Philadelphia, PA 19148, USA",PHI,Citizens Bank Park,1222121,40861,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"211 N Shore Dr, Pittsburgh, PA 15212, USA",PIT,PNC Park,735358,24314,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"200-224 Sixth Ave, San Diego, CA 92101, USA",SDP,Petco Park,3347651,107507,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"176-190 King St, San Francisco, CA 94107, USA",SFG,AT&T Park,3431765,112013,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"1181 Dave Niehaus Way S, Seattle, WA 98134, USA",SEA,Safeco Field,3325668,107802,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"698 S 8th St, St. Louis, MO 63102, USA",STL,Busch Stadium,475494,15644,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"1634-1680 3rd Ave S, St. Petersburg, FL 33705, USA",TBR,Tropicana Field,1913589,62411,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"1000-1152 Nolan Ryan Expy, Arlington, TX 76011, USA",TEX,Ballpark in Arlington,1579790,51161,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"83 Navy Wharf Ct, Toronto, ON M5V, Canada",TOR,Rogers Centre,828991,27675,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"8 O St SW, Washington, DC 20024, USA",WAS,Nationals Park,1125232,37942,"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field
"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field,2908629,95353,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field,742709,24077,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards,815058,28105,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park,1416307,46860,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field,485283,17111,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field,469052,15925,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark,0,0,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"519 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field,400632,13358,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field,1916400,61353,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium,420862,14423,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park,1805633,57244,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"1500 Texas St, Houston, TX 77002, USA",HOU,Minute Main Park,1685935,56728,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"Lancer Ln, Kansas City, MO 64129, USA",KAN,Kauffman Stadium,938568,31104,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"2000 E Gene Autry Way, Anaheim, CA 92806, USA",LAA,Angel Stadium of Anaheim,3492322,112504,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"Echo Park, Los Angeles, CA, USA",LAD,Dodger Stadium,3503002,113170,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"221 Frederick Miller Way, Milwaukee, WI 53214, USA",MIL,Miller Park,634945,21299,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"499 N 7th St, Minneapolis, MN 55405, USA",MIN,Target Field,1139328,37815,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"Boat Basin Pl, Corona, NY 11368, USA",NYM,Citi Field,1060198,36718,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"Macombs Dam Bridge, Bronx, NY 10452, USA",NYY,Yankee Stadium,1045755,35901,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"7000 Coliseum Way, Oakland, CA 94621, USA",OAK,O.co Stadium,3838264,124571,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"16 S 11th St, Philadelphia, PA 19148, USA",PHI,Citizens Bank Park,928065,31590,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"211 N Shore Dr, Pittsburgh, PA 15212, USA",PIT,PNC Park,464293,15798,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"200-224 Sixth Ave, San Diego, CA 92101, USA",SDP,Petco Park,3476696,113652,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"176-190 King St, San Francisco, CA 94107, USA",SFG,AT&T Park,3835361,124582,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"1181 Dave Niehaus Way S, Seattle, WA 98134, USA",SEA,Safeco Field,3798439,123037,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"698 S 8th St, St. Louis, MO 63102, USA",STL,Busch Stadium,563582,18823,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"1634-1680 3rd Ave S, St. Petersburg, FL 33705, USA",TBR,Tropicana Field,1509248,48219,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"1000-1152 Nolan Ryan Expy, Arlington, TX 76011, USA",TEX,Ballpark in Arlington,1530590,50091,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"83 Navy Wharf Ct, Toronto, ON M5V, Canada",TOR,Rogers Centre,790300,27430,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"8 O St SW, Washington, DC 20024, USA",WAS,Nationals Park,817064,28407,"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark
"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field,3241730,106147,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field,1142413,37265,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards,603170,20889,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park,1026351,34468,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field,563592,19544,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field,547360,18358,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark,400242,13424,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"487-517 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field,0,0,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field,2140014,68606,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium,268458,9085,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park,1997333,64582,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"1500 Texas St, Houston, TX 77002, USA",HOU,Minute Main Park,2085639,69916,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"Lancer Ln, Kansas City, MO 64129, USA",KAN,Kauffman Stadium,1271669,41898,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"2000 E Gene Autry Way, Anaheim, CA 92806, USA",LAA,Angel Stadium of Anaheim,3761891,120607,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"Echo Park, Los Angeles, CA, USA",LAD,Dodger Stadium,3772571,121274,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"221 Frederick Miller Way, Milwaukee, WI 53214, USA",MIL,Miller Park,703046,23957,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"499 N 7th St, Minneapolis, MN 55405, USA",MIN,Target Field,1212715,40627,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"Boat Basin Pl, Corona, NY 11368, USA",NYM,Citi Field,766829,26452,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"Macombs Dam Bridge, Bronx, NY 10452, USA",NYY,Yankee Stadium,752386,25636,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"7000 Coliseum Way, Oakland, CA 94621, USA",OAK,O.co Stadium,3958618,128794,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"16 S 11th St, Philadelphia, PA 19148, USA",PHI,Citizens Bank Park,702064,24111,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"211 N Shore Dr, Pittsburgh, PA 15212, USA",PIT,PNC Park,215301,7564,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"200-224 Sixth Ave, San Diego, CA 92101, USA",SDP,Petco Park,3871602,124299,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"176-190 King St, San Francisco, CA 94107, USA",SFG,AT&T Park,3955715,128805,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"1181 Dave Niehaus Way S, Seattle, WA 98134, USA",SEA,Safeco Field,3871827,125850,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"698 S 8th St, St. Louis, MO 63102, USA",STL,Busch Stadium,896683,29617,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"1634-1680 3rd Ave S, St. Petersburg, FL 33705, USA",TBR,Tropicana Field,1791941,59356,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"1000-1152 Nolan Ryan Expy, Arlington, TX 76011, USA",TEX,Ballpark in Arlington,1930294,63280,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"83 Navy Wharf Ct, Toronto, ON M5V, Canada",TOR,Rogers Centre,468148,16499,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"8 O St SW, Washington, DC 20024, USA",WAS,Nationals Park,605175,21191,"487 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field
"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field,1323307,45814,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field,2254393,71737,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards,2671568,87016,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park,3166108,102302,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field,1622707,52168,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field,1617229,51470,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark,1914889,60935,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"519 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field,2142140,68401,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field,0,0,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium,2039712,64626,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park,3317317,104904,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"1500 Texas St, Houston, TX 77002, USA",HOU,Minute Main Park,1662500,55195,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"Lancer Ln, Kansas City, MO 64129, USA",KAN,Kauffman Stadium,979006,30518,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"2000 E Gene Autry Way, Anaheim, CA 92806, USA",LAA,Angel Stadium of Anaheim,1628230,52608,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"Echo Park, Los Angeles, CA, USA",LAD,Dodger Stadium,1638910,53275,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"221 Frederick Miller Way, Milwaukee, WI 53214, USA",MIL,Miller Park,1673050,52770,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"499 N 7th St, Minneapolis, MN 55405, USA",MIN,Target Field,1468365,46418,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"Boat Basin Pl, Corona, NY 11368, USA",NYM,Citi Field,2880859,93146,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"Macombs Dam Bridge, Bronx, NY 10452, USA",NYY,Yankee Stadium,2866416,92329,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"7000 Coliseum Way, Oakland, CA 94621, USA",OAK,O.co Stadium,2016098,66665,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"16 S 11th St, Philadelphia, PA 19148, USA",PHI,Citizens Bank Park,2784575,90502,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"211 N Shore Dr, Pittsburgh, PA 15212, USA",PIT,PNC Park,2329332,74257,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"200-224 Sixth Ave, San Diego, CA 92101, USA",SDP,Petco Park,1737941,56300,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"176-190 King St, San Francisco, CA 94107, USA",SFG,AT&T Park,2013195,66676,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"1181 Dave Niehaus Way S, Seattle, WA 98134, USA",SEA,Safeco Field,2115885,70439,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"698 S 8th St, St. Louis, MO 63102, USA",STL,Busch Stadium,1365894,43071,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"1634-1680 3rd Ave S, St. Petersburg, FL 33705, USA",TBR,Tropicana Field,3020932,95879,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"1000-1152 Nolan Ryan Expy, Arlington, TX 76011, USA",TEX,Ballpark in Arlington,1262694,42154,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"83 Navy Wharf Ct, Toronto, ON M5V, Canada",TOR,Rogers Centre,2420990,77424,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"8 O St SW, Washington, DC 20024, USA",WAS,Nationals Park,2673573,87319,"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field
"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field,3230008,105190,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field,1160884,38165,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards,844142,28388,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park,1138654,38573,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field,464037,16105,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field,447805,14919,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark,420719,14390,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"519 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field,269082,9207,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field,2038994,65009,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium,0,0,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park,2223808,71332,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"1500 Texas St, Houston, TX 77002, USA",HOU,Minute Main Park,2091651,70328,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"Lancer Ln, Kansas City, MO 64129, USA",KAN,Kauffman Stadium,1232427,40326,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"2000 E Gene Autry Way, Anaheim, CA 92806, USA",LAA,Angel Stadium of Anaheim,3660871,117009,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"Echo Park, Los Angeles, CA, USA",LAD,Dodger Stadium,3671551,117676,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"221 Frederick Miller Way, Milwaukee, WI 53214, USA",MIL,Miller Park,617737,20426,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"499 N 7th St, Minneapolis, MN 55405, USA",MIN,Target Field,1122119,36941,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"Boat Basin Pl, Corona, NY 11368, USA",NYM,Citi Field,1007801,33952,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"Macombs Dam Bridge, Bronx, NY 10452, USA",NYY,Yankee Stadium,993358,33135,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"7000 Coliseum Way, Oakland, CA 94621, USA",OAK,O.co Stadium,3857597,125196,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"16 S 11th St, Philadelphia, PA 19148, USA",PHI,Citizens Bank Park,943036,31611,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"211 N Shore Dr, Pittsburgh, PA 15212, USA",PIT,PNC Park,456274,15063,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"200-224 Sixth Ave, San Diego, CA 92101, USA",SDP,Petco Park,3770581,120701,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"176-190 King St, San Francisco, CA 94107, USA",SFG,AT&T Park,3854695,125207,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"1181 Dave Niehaus Way S, Seattle, WA 98134, USA",SEA,Safeco Field,3781231,122164,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"698 S 8th St, St. Louis, MO 63102, USA",STL,Busch Stadium,884961,28660,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"1634-1680 3rd Ave S, St. Petersburg, FL 33705, USA",TBR,Tropicana Field,1927424,62307,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"1000-1152 Nolan Ryan Expy, Arlington, TX 76011, USA",TEX,Ballpark in Arlington,1936306,63691,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"83 Navy Wharf Ct, Toronto, ON M5V, Canada",TOR,Rogers Centre,374909,13338,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"8 O St SW, Washington, DC 20024, USA",WAS,Nationals Park,846147,28691,"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium
"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field,3794970,118491,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field,1064329,33109,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards,1760218,55992,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park,2399780,78231,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field,2227682,72313,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field,2211451,71127,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark,1805030,56963,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"519 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field,1998082,64401,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field,3319917,104774,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium,2223806,71044,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park,0,0,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"1500 Texas St, Houston, TX 77002, USA",HOU,Minute Main Park,1907968,59902,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"Lancer Ln, Kansas City, MO 64129, USA",KAN,Kauffman Stadium,2342086,74525,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"2000 E Gene Autry Way, Anaheim, CA 92806, USA",LAA,Angel Stadium of Anaheim,4368391,137132,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"Echo Park, Los Angeles, CA, USA",LAD,Dodger Stadium,4397632,138267,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"221 Frederick Miller Way, Milwaukee, WI 53214, USA",MIL,Miller Park,2377344,76501,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"499 N 7th St, Minneapolis, MN 55405, USA",MIN,Target Field,2886350,91487,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"Boat Basin Pl, Corona, NY 11368, USA",NYM,Citi Field,2092768,67483,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"Macombs Dam Bridge, Bronx, NY 10452, USA",NYY,Yankee Stadium,2078325,66666,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"7000 Coliseum Way, Oakland, CA 94621, USA",OAK,O.co Stadium,4979982,156498,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"16 S 11th St, Philadelphia, PA 19148, USA",PHI,Citizens Bank Park,1913303,61219,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"211 N Shore Dr, Pittsburgh, PA 15212, USA",PIT,PNC Park,1889968,61507,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"200-224 Sixth Ave, San Diego, CA 92101, USA",SDP,Petco Park,4274109,133659,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"176-190 King St, San Francisco, CA 94107, USA",SFG,AT&T Park,5005009,157692,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"1181 Dave Niehaus Way S, Seattle, WA 98134, USA",SEA,Safeco Field,5306798,171644,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"698 S 8th St, St. Louis, MO 63102, USA",STL,Busch Stadium,1956748,61827,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"1634-1680 3rd Ave S, St. Petersburg, FL 33705, USA",TBR,Tropicana Field,426367,13831,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"1000-1152 Nolan Ryan Expy, Arlington, TX 76011, USA",TEX,Ballpark in Arlington,2133313,68794,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"83 Navy Wharf Ct, Toronto, ON M5V, Canada",TOR,Rogers Centre,2386700,78134,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"8 O St SW, Washington, DC 20024, USA",WAS,Nationals Park,1691286,53460,"1641 NW 5th St, Miami, FL 33125, USA",FLA,Marlins Park
"200-298 S 4th St, Phoenix, AZ 85004, USA",ARI,Chase Field,1891659,59123,"1543-1599 Texas Ave, Houston, TX 77002, USA",HOU,Minute Main Park
"Downtown Connector, Atlanta, GA 30315, USA",ATL,Turner Field,1274319,40340,"1543-1599 Texas Ave, Houston, TX 77002, USA",HOU,Minute Main Park
"501-599 Eislen St, Baltimore, MD 21230, USA",BAL,Oriole Park at Camden Yards,2324481,75569,"1543-1599 Texas Ave, Houston, TX 77002, USA",HOU,Minute Main Park
"1-99 Fenway Plaza, Boston, MA 02215, USA",BOS,Fenway Park,2969761,97362,"1543-1599 Texas Ave, Houston, TX 77002, USA",HOU,Minute Main Park
"3667 N Clark St, Chicago, IL 60613, USA",CHC,Wrigley Field,1751473,58871,"1543-1599 Texas Ave, Houston, TX 77002, USA",HOU,Minute Main Park
"333 W 35th St, Chicago, IL 60616, USA",CHW,US Cellular Field,1735274,57698,"1543-1599 Texas Ave, Houston, TX 77002, USA",HOU,Minute Main Park
"184-190 Walnut St, Cincinnati, OH 45202, USA",CIN,Great American Ballpark,1684868,56585,"1543-1599 Texas Ave, Houston, TX 77002, USA",HOU,Minute Main Park
"519 Bolivar Rd, Cleveland, OH 44115, USA",CLE,Progressive Field,2085418,69830,"1543-1599 Texas Ave, Houston, TX 77002, USA",HOU,Minute Main Park
"1726-1792 20th St, Denver, CO 80202, USA",COL,Coors Field,1657973,55076,"1543-1599 Texas Ave, Houston, TX 77002, USA",HOU,Minute Main Park
"1774 Cherry St, Detroit, MI 48216, USA",DET,Tiger Stadium,2092096,70162,"1543-1599 Texas Ave, Houston, TX 77002, USA",HOU,Minute Main Park
